status,closing_reason,closing_date,capacity,short_id,id,fee_rate,node,closing_tx,total_fee
2,2,1676821543,25000000,729982x1884x0,802623697190649856,100,Kraken,e3dc1730e89cc58ff59da0a4068d060395fe300168773291cdd608edf75648fd,12100
2,2,1676815320,10000000,733382x704x1,806362036647755777,2500,Kraken,fe7a233227bd7d2e739f4c9c2a2af7e000048e308b2224c2988571e9f2815467,2063
2,1,1676811681,30303333,777044x633x1,854368913335058433,100,Kraken,e4eef656eb65812396c0b0113650fcd49f2373e35470f0ccfd43c4403795f9ba,222
2,1,1676810931,30303333,776361x1432x0,853617946945650688,100,Kraken,97230c200eb8f8a1e7d5af8b2eb03e3855f0ed60da5487148460d768ef23438a,567
2,1,1676798703,6000000,766618x2498x0,842905405226090496,100,Kraken,6eb61543b82311b3d153af8efc77be3aa361d80d23aa11ce523c68b9a77eb3bb,196
2,1,1676758160,4400000,765685x869x1,841879560770617345,2500,Kraken,78dfc4666b7b92fd92e812d9aec4a71dee4f0fc5971d34bdcdd6773b79d2bee8,196
2,1,1676733300,100000000,772348x942x1,849205606751272961,500,Kraken,80aad2b802d945051d7dc00f129c52abb390500011114619ed70b630efde385c,236
2,2,1676732128,5000000,769615x766x0,846200641461026816,500,Kraken,0a16e76828a6b5ea54665fedd526ac56daca889231b9dfdea2e3c6713a7d91e0,9621
2,2,1676730961,1000000,759991x1849x0,835618941626286080,100,Kraken,2a8b288db3155285be0f76a15bc6f4da1d4fd88b586a5b84dda21d0e39d42d93,7206
2,1,1676730162,15000000,759824x1490x1,835435323160920065,500,Kraken,a7cc2b8578140a24a883a82f124c2a92d4008ff4c74ad41dd8a5121d5b6b62a6,284
2,2,1676711591,1000000,736507x1333x0,809798010525777920,100,Kraken,4e46fdb853f5da3a666c6dbf38a3afa1d659bcbf028dec27de71219b26133c69,6259
2,1,1676709753,20000000,731658x2587x0,804466478724874240,500,Kraken,092bcab6dc078555c69c866753ff57ceca41b13ae7779ee1cadf1493cc4ef6af,663
2,1,1676709228,30303333,765706x941x1,841902650519519233,100,Kraken,c360677d912e5bd78d5ae53a2f7aba181aff33b5f9d076d8b785a8ead88a8715,685
2,1,1676697042,2500000,774950x989x0,852066536009826304,100,Kraken,b0d32597d2edd242fbf032be7dafdb6910bcc377d2f7eb5464b42e91b9c2833c,1123
2,1,1676616453,1000000,771163x707x0,847902685456957440,2500,Kraken,75c48ce12556d339ae3cf11ffd1cca8deadf8fc22ba051afcee8e21e02df7779,514
2,1,1676612799,30303333,775972x305x1,853190236848586753,500,Kraken,62e36c96bf139d8ea037e5f5c87b2d093d6942686854a4c25be86aef44103bac,567
2,1,1676612799,30303333,776711x1066x0,854002775991386112,500,Kraken,902d594127f90769b0b8d7a7ed4f6f24f569f219fc7445545ff52344e7e07b97,567
2,2,1676607354,9000000,776361x2127x1,853617946991198209,500,Kraken,81b18ebaf11042418e211365495bbf432948522f79b00675e791d0eaff6500cb,20350
2,1,1676595318,16777000,776858x834x0,854164404185464832,100,Kraken,0c85684d96758f5b3232d6fc32200bb41d4d9c39f4604756eb397c0e0e1fd7f9,635
2,1,1676595207,30303333,772866x995x0,849775153777934336,100,Kraken,d7fc4dd347fdd91d4cbdb122894156b0de7e12c89440e87829120542afd1e934,685
2,1,1676595207,30303333,776199x839x1,853439826023088129,500,Kraken,ecb05d09a7af1c78cf662d3171b6fed58225424145fd32f7fd93fb2686f89cac,685
2,1,1676593750,30303333,765209x1419x0,841356193271840768,100,Kraken,dbb84ef3ca96f8792ad3e0b0640e6b3aa45d2f4066453147b29f41dfafd7d065,753
2,1,1676593750,30303333,766162x1456x0,842404027855536128,100,Kraken,a7f1fcc97f527952f2e70f7aaddf2d6f715ccfda67b1c961f0d6fa9caef7c207,753
2,1,1676593750,30303333,768362x1916x1,844822953466789889,100,Kraken,bb35c9e33f9ed5a2e00c0ab9cf44a88a33cea2293b7b8c5be5a7a2149a688040,753
2,1,1676593750,30303333,771940x1743x0,848757006059634688,100,Kraken,f5a42a38e216a8fdfd6ab597c5d10fa225754b5afe7b019085525bb69668994d,753
2,1,1676593750,30303333,772098x293x1,848930728801796097,100,Kraken,53695e368af6a197018092691b93eea576078fefa465f08f68904f3e7f6eb7f2,753
2,1,1676593750,30303333,772560x998x1,849438703220031489,100,Kraken,bb9369900d465ee8b151445293e0a0c0c5321c48914185cab233bcedbe070375,753
2,1,1676593750,30303333,772603x1403x0,849485982246567936,100,Kraken,3e7091bd96b132398d9b809d027867b720d2dec60c77ccc58af46771d8989be6,753
2,1,1676593750,30303333,772838x2655x1,849744367561146369,100,Kraken,592bd428e6fdcc4ac9bf1b6bcdae177d17be6dcffce38c7fef86285047c4948d,753
2,1,1676593750,30303333,774168x254x0,851206717868736512,100,Kraken,a4499439c378aecd1d6c819355c09c44a1b9ae17a4283283b1be29db50d1b1b8,753
2,1,1676593750,30303333,774321x488x1,851374943163121665,100,Kraken,95abed1a022aba45a7f9c146129ad06e9050f5d2f5a88cc4d0b24e79a7879be5,753
2,1,1676593750,30303333,774597x1875x1,851678408463286273,100,Kraken,fbd9a134693b22187b2996bd74da7f68ed14d4ca454b19bd793b36135617539e,753
2,1,1676593750,30303333,774597x1883x0,851678408463810560,100,Kraken,5d304f86e4fe085c07af40adbe5f72d97ae4e7c6c321c0c3153283f9c856eb70,753
2,1,1676593750,30303333,774717x2223x0,851810349881425920,100,Kraken,955c7fba6953924966aef0c7cf550ea6288b637bd3cfd05d4ce157b7fbbf49dc,753
2,1,1676593750,30303333,774946x1031x0,852062137966067712,100,Kraken,ebacf41e18f19560d9c391b9ef390b19fc3dd553ced73d9024350001cb728cae,753
2,1,1676593750,30303333,775063x3239x0,852190780971220992,100,Kraken,6e648c510de40c3cfd66f2946afba012b5fea0f8d91e7bc22da28f97ae0f424c,753
2,1,1676593750,30303333,775111x1593x1,852243557421481985,100,Kraken,7f42cb0a2a369aa1f1844d079445b14c938ea24b934a84cf5bafe8b3aafbafc8,753
2,1,1676593750,30303333,775378x767x1,852537126971965441,100,Kraken,3f7ea2c43d0a2f429ea1157714827ae67940663471d6cc54e157ae79f849d74a,753
2,1,1676593750,30303333,775573x1987x0,852751531819335680,100,Kraken,829fbf682fbe0ea051fd6947bfe81dc59b2fa98e1e0f36a705701e89096301b9,753
2,1,1676593750,30303333,775814x100x0,853016513997963264,100,Kraken,8a7d71f35bbddc7c1446599594a0e9305e83185832ccdfffffb0f48e33100124,753
2,1,1676593750,30303333,775864x1292x0,853071489657470976,100,Kraken,a5a9eac6525aaacd9962ca0ac757c9e1f709fa2e9af4d02b5ad0e2f1fd73fe17,753
2,1,1676593750,30303333,775970x508x1,853188037838635009,100,Kraken,c098398e008cee3fc395173f266901cdf935c4bbd1ba7ba3e439995abf2fc027,753
2,1,1676593750,30303333,776232x199x1,853476109864861697,100,Kraken,eb651a3a741184e2c1797278c8a611ce8c7607bfe20bedee2165444f305e5205,753
2,1,1676593750,30303333,776336x2042x1,853590459194933249,100,Kraken,22ad5d2afab51f0ef152454d6c4388d1e5100a56df65fc917e3013ca79f8d25f,753
2,1,1676593750,30303333,776370x1719x1,853627842569109505,100,Kraken,a1a5f2318cc4b4d6c93ec39951e36a536bf5ed77555695f011928d639ecbdee6,753
2,1,1676593750,30303333,776499x1041x0,853769679524659200,100,Kraken,ef5084eb292f8c79b23eb5cd6f6cb1d52e713c7ccad905b43b4b8650cabd1aa7,753
2,1,1676593750,30303333,776549x225x0,853824655052570624,100,Kraken,89f7d4e5b3136ecb5464371c2d16861253206047722514ec66468ddf7128d5b8,753
2,1,1676593750,30303333,776640x1005x0,853924710661816320,100,Kraken,597be8383ffd31fd3ab0c682b7584e831246416dbfabef81891e584167190636,753
2,1,1676563565,1000000,774950x1115x0,852066536018083840,2500,Kraken,eda35246498ccc8dc748d6759dfd6572a420e3dbc2e24057b9f5867501ee8e87,151
2,1,1676559683,3000000,736330x2309x1,809603397031624705,500,Kraken,17778294d0b56554f6bbf83588f1b1461647638e946c29d3d1edec8df820a6a4,732
2,2,1676526283,10000000,728342x141x0,800820498006867968,100,Kraken,04583d6f5731d20af30cfa9d7e876028733e4a566d946719a55363e910dace6c,10022
2,1,1676513900,1064182,740991x1204x1,814728220656271361,100,Kraken,d394e1b0724a3ba21a6330743fd073e5c54ac44f35a844888ba5ed3f6c5bc764,801
2,1,1676492722,1001000,774536x1198x1,851611338209624065,500,Kraken,0829938c7b07c09d23308dc16e9206d7afc1799f4f529e1a575ef889ff79338f,995
2,2,1676437310,100000000,727763x2428x0,800183880924266496,2500,Kraken,f9f4c2931580107deaadff1e6983449d1e693591e3fca4ab509506c02d607d80,7601
2,2,1676406562,2000000,747597x376x0,821991594415095808,100,Kraken,a0b35fe06da5057cd0cfe37f67622115033d59b51013839f96e0d62aebb5d8b0,14047
2,2,1676352377,4000000,764573x2145x0,840656903924154368,500,Kraken,3e7304ef7b41fb062284a653ff86018b3db930bb129dc6c22050604e6c961cb4,7042
2,1,1676340989,1000000,772206x598x1,849049476077584385,100,Kraken,9f99254ca82b1c0f9d63e8e3abf55772c9a9efdc15bd1f4b84c83975c4e2822b,533
2,2,1676335686,1000000,769442x1573x1,846010426002309121,500,Kraken,d9615fb69601d70f776cd5807889cfd8f511484a73a261fd064cd96da653bebb,8733
2,2,1676314303,2798509,736550x1312x0,809845289524396032,500,Kraken,5a1bc274d71140455c5b89c5fb563aa10dce0725f6a5d07e09f3825e75b42eeb,6148
2,1,1676252723,2100000,757668x1212x1,833064776073216001,500,Kraken,bbf1fa32ea883ba077eba22306a61fed8a3e5b5097202e60dcb17c3bd4550063,196
2,1,1676241483,1000000,775207x1131x0,852349110507470848,2500,Kraken,d5643294313cf9f7569a6b628bab6b004ab10a2940d766472be8bbede0c0847f,826
2,1,1676237611,1000000,775471x2629x0,852639381675376640,2500,Kraken,81ee51f55defb775f5a798e98cc3aa6319dd902bb5e0bf93029b7d76183890f7,182
2,2,1676208371,2000000,747111x1213x1,821457231818850305,100,Kraken,757286d6ee7412b3b25e51a249472b3d1b49aee0aacc8f6a4ea31ef565345133,5940
2,2,1676194583,20696476,766485x1425x2,842759170109276162,100,Kraken,1eeacaf41ca2a00d29773b258fc5a0c1f00d3832c7bd159ffe8fac6cfa4a23b9,4506
2,1,1676137151,2500000,758531x931x1,834013654589571073,500,Kraken,ffca2789dcfe59c4c5987b7d84442bbd89b0ddf7e67f1d232ebc834596ad3d3c,196
2,1,1676126183,25000000,774856x475x1,851963181883129857,2500,Kraken,61a6ba38bfd466fc5c38ae7cb637e9eb6153e6303da0e407aa7f468efecf702a,343
2,1,1676109086,16777000,771673x896x1,848463436399509505,500,Kraken,344bd891e3172cc82bbaafd0c6d4250393abf8cbf4f25bb70960ec259c9af02d,549
2,1,1676092295,2100000,773930x2112x1,850945034223091713,100,Kraken,fbc27963b13f16362350d2975eaa4231855d52c1a3c1924c1942979cea233d4a,1466
2,2,1676084300,1000000,736717x325x1,810028907901550593,100,Kraken,18bbb03a1d0e2e034b6cad727f050ee961ab06b81b3db60eddad833d9d38a81b,7075
2,2,1676074119,10000000,758649x954x9,834143396963155977,500,Kraken,6ad288e5f9d4268f8e2bc59da7472d8aa40e1426e6e049fa64592e781b84731c,46063
2,1,1676018292,16500000,772556x1422x1,849434305201307649,100,Kraken,20cfe9bb1dfbc1857b50be7bf7080f976a89ab540bf5f4723e672a788bc30fc1,934
2,2,1675981234,100000000,764555x558x1,840637112610848769,500,Kraken,db8b6244fcf7c25765010cdf490a2035e2c4f7689ce1487a2eb41fa5a07f2cb0,11523
